File Extension,Ransomware,Present in other programs,Program type
TheTrumpLockerf,Unidentified,N,
eV3rbe,Unidentified,N,
blind,Unidentified,N,
TAKA,Unidentified,N,
babaxed!,Unidentified,N,
Basilisque Locker,Unidentified,N,
POHU,Unidentified,N,
fsvlf4,Unidentified,N,
zes,Unidentified,N,
Storm,Unidentified,N,
LOCK75,Unidentified,N,
Lost_Files_Encrypt,Unidentified,N,
ucftz*,Unidentified,N,
sivo,Unidentified,N,
vari,Unidentified,N,
nostro,Unidentified,N,
xhspythxn,Unidentified,N,
ragnar_44027CDE,Unidentified,N,
fix,Unidentified,Y,Patchfile
lanset,Unidentified,N,
EnCryp13d,Unidentified,N,
SAD,Unidentified,N,
CmdRansomware,Unidentified,N,
Jemd,Unidentified,N,
czvxce,Xorist,N,
SHRUG2,Unidentified,N,
u'*Instraction*,Unidentified,N,
SHRUG,Unidentified,N,
LonleyCrypt,Unidentified,N,
net*,Unidentified,N,
booknish,Unidentified,N,
0wn3dyou,Unidentified,N,
egmwv,Unidentified,N,
LIGHTNING,Unidentified,N,
ZIG,Unidentified,N,
bang,Unidentified,N,
InfoDot,Unidentified,N,
realfs0ciety*,Unidentified,N,
Gibberish,Unidentified,N,
Boruta,Unidentified,N,
TRU8,Unidentified,N,
ykcol,Unidentified,N,
parrot,Unidentified,N,
Ransomnix,Unidentified,N,
MANSORY,Unidentified,N,
banta,Unidentified,N,
cryptfile,Unidentified,N,
BRT92,Unidentified,N,
arrow,Unidentified,N,
volcano,Unidentified,N,
lapoi,Unidentified,N,
XYZ,Unidentified,N,
carlos,Unidentified,N,
eoeo,Unidentified,N,
a5zfn,BadEncriptor,N,
VisionCrypt,Unidentified,N,
doomed,Unidentified,N,
spider,Unidentified,N,
cmb,Unidentified,N,
*obleep,Unidentified,N,
Cyclone,Unidentified,N,
miblqugb,Unidentified,N,
cdrpt,Unidentified,N,
GEFEST,Unidentified,N,
SHARK,Unidentified,N,
NIGGA,Unidentified,N,
GPGQwerty,Unidentified,N,
masok,Unidentified,N,
