!bt	BitTorrentIncompleteDownloadfile
!qb	qBittorrentPartialDownloadfile
!ut	uTorrentIncompleteDownloadfile
#24	Printerdatafilefor24pinmatrixprinter(LocoScript)
#ib	Printerdatafile(LocoScript)
#sc	Printerdatafile(LocoScript)
#st	Standardmodeprinterdefinitions(LocoScript)
$#!	Cryptext
ab8	Datafile(ABStat)
aba	PalmAddressBookfile
abc	ActionScriptByteCodeFile
abd	AmBizBonusCalculatordatafile
abf	AdobeBinaryFont
abi	ABICODEREncryptionsoftware
abk	Automaticbackupfile(CorelDRAW)
abm	ImagePalsPhotoAlbumDocument
abr	AdobePhotoshopbrushfile
abs	Abstracts(infofile)
abw	AbiWorddocument
abx	WordPerfectAddressBookfile
aby	AOLfile(locatedinAOLprogramdirectory)
ac3	AC3AudioFileFormat
aca	MicrosoftAgentCharacterfile
acb	Graphics(ACMB)
acc	Program(DR-DOS-ViewMax)(GEM/resident)
acd	SonicFoundryAcidmusicfile
ace	AceArchiver/WinAcecompressedfile
acf	MicrosoftAgentCharacterfile
aci	ACIDevelopmentAppraisal
acl	MicrosoftOfficeAutoCorrectionfile
acm	AudioCompressionManagerDriver
acorn	ACORNGraphicsformat
acs	MSAgentCharacterfile
acs2	AIMP2MediaPlayerSkinfile
acsm	AdobeContentServerMessagefile
act	Actorsourcecodefile
acv	OS/2AudioDrivers
ad	Screensaverdata(AfterDark)
ada	Adasourcecodefile
adb	AdaPackageBody
adc	Bitmapgraphics(16colors)(Scanstudio)
ade	MicrosoftAccessProject
adf	AdapterDescriptionfile
adi	Graphics(AutoCAD)
adl	Mcaadapterdescriptionlibrary(QEMM)
adm	AfterDarkScreenSaverModule
adn	Add-in(Lotus1-2-3)
ado	PhotoshopDuotoneOptions
adp	FaxWorksModemsetupfile
adr	AddressBook
ads	AdaPackageSpecification
adt	Datafileforcardfileapplication(HPNewWave)
adx	Document(ArchetypeDesigner)
adz	GZ-PackedAmigaDiskfile
aeh	iPerAdvancedEmbeddedHypertext
aep	AdobeAfterEffectsProjectfile
aex	PGPArmoredExtractedPublicEncryptionKey
af2	Flowchart(ABCFlowCharter2.0)
aff	AnyFormFormfile
afi	Truevisionbitmapgraphics
afl	Fontfile(forAllways)(Lotus1-2-3)
afm	Type1fontmetricASCIIdataforfontinstaller(ATM-
afs	AdobeTypeManagerfontset
aft	AnyFormtemplatefile
ag	Applixwaregraphicsfile
agp	AspenGraphicsPages
agw	AspenGraphicsWindows
ai	Vectorgraphics(AdobeIllustrator)
aiff	Audiointerchangefileformat
ain	CompressedfilearchivecreatedbyAIN
aio	APLfiletransferformatfile
air	AdobeAIRInstallationPackagefile
ais	ArrayofIntensitySamplesgraphics(Xerox)
aix	Datafileforcardfileapplication(HPNewWave)
ajp	JPEG2000Digitalclosed-circuittelevision(CCTV)security
alb	JASCImageCommanderAlbum
albm	webAlbumPhotoAlbum
all	Formatfileforworkingpages(Always)
als	AliasImage
alt	Menufile(WordPerfectLibrary)
alx	ActiveXLayoutfile
alz	ALZipCompressedfile
amf	Music(AdvancedModuleFormat)
amff	AmigaMetafile
amg	CompressedfilearchivecreatedbyAMGC
amp	PhotoshopArbitraryMapSettings
amr	AdaptiveMulti-RateACELPCodec
amv	AMVVideofile
amx	AfterEffectsMotionExchangefile
anc	Animationfileformat(MorphInk)
ani	Animation(Presidio-many)
anm	Animation(DeluxePaintAnimator)
ann	HelpAnnotations(Windows3.x)
ans	Ansigraphics(characteranimation)
